State/UT,Decade,Year,District-Before,District-After,
Punjab,2001-2011,2006,Rupnagar,Sahibzada Ajit Singh Nagar,
Punjab,2001-2011,2006,Amritsar,Amritsar,
Punjab,2001-2011,2006,Amritsar,Tarn Taran,
Rajasthan,2001-2011,2008,Chittaurgarh,Chittaurgarh,
Rajasthan,2001-2011,2008,Chittaurgarh,Pratapgarh,
Tamil Nadu,2001-2011,2004,Dharmapuri,Dharmapuri,
Tamil Nadu,2001-2011,2004,Dharmapuri,Krishnagiri,
Tamil Nadu,2001-2011,2007,Perambalur,Ariyalur,
Tamil Nadu,2001-2011,2007,Perambalur,Perambalur,
Tamil Nadu,2001-2011,2009,Erode,Erode,
Tamil Nadu,2001-2011,2009,Erode,Tiruppur,
Tamil Nadu,2001-2011,2009,Coimbatore,Coimbatore,
Tamil Nadu,2001-2011,2009,Coimbatore,Tiruppur,
Uttar Pradesh,2001-2011,2008,Etah,Etah,
Uttar Pradesh,2001-2011,2008,Etah,Kanshiram Nagar,
West Bengal,2001-2011,2002,Medinipur,Paschim Medinipur,
West Bengal,2001-2011,2002,Medinipur,Purba Medinipur,
Arunachal Pradesh,2011-2021,2012,Tirap,Longding,
Arunachal Pradesh,2011-2021,2012,Tirap,Tirap,
Arunachal Pradesh,2011-2021,2014,Lohit,Lohit,
Arunachal Pradesh,2011-2021,2014,Lohit,Namsai,
Arunachal Pradesh,2011-2021,2015,Kurung Kumey,Kra Daadi,
Arunachal Pradesh,2011-2021,2015,Kurung Kumey,Kurung Kumey,
Arunachal Pradesh,2011-2021,2015,East Siang,Siang,
Arunachal Pradesh,2011-2021,2015,East Siang,East Siang,
Arunachal Pradesh,2011-2021,2015,West Siang,Siang,
Arunachal Pradesh,2011-2021,2015,West Siang,West Siang,
Arunachal Pradesh,2011-2021,2017,East Siang,Lower Siang,
Arunachal Pradesh,2011-2021,2017,East Siang,East Siang,
Arunachal Pradesh,2011-2021,2017,West Siang,Lower Siang,
Arunachal Pradesh,2011-2021,2017,West Siang,West Siang,
Arunachal Pradesh,2011-2021,2017,Lower Subansiri,Kamle,
Arunachal Pradesh,2011-2021,2017,Lower Subansiri,Lower Subansiri,
Arunachal Pradesh,2011-2021,2017,Upper Subansiri,Kamle,
Arunachal Pradesh,2011-2021,2017,Upper Subansiri,Upper Subansiri,
Arunachal Pradesh,2011-2021,2018,East Kameng,Pakke-Kesang,
Arunachal Pradesh,2011-2021,2018,East Kameng,East Kameng,
Arunachal Pradesh,2011-2021,2018,Lower Siang,Lepa-Rada,
Arunachal Pradesh,2011-2021,2018,Lower Siang,Lower Siang,
Arunachal Pradesh,2011-2021,2018,West Siang,Shi-Yomi,
Arunachal Pradesh,2011-2021,2018,West Siang,West Siang,
Assam,2011-2021,2015,Sonitpur,Biswanath,
Assam,2011-2021,2015,Sonitpur,Sonitpur,
Assam,2011-2021,2015,Sivasagar,Charaideo,
Assam,2011-2021,2015,Sivasagar,Sivasagar,
Assam,2011-2021,2015,Nagaon,Hojai,
Assam,2011-2021,2015,Nagaon,Nagaon,
Assam,2011-2021,2015,Dhubri,South Salmara-Mankachar,
Assam,2011-2021,2015,Dhubri,Dhubri,
Assam,2011-2021,2015,Karbi Anglong,West Karbi Anglong,
Assam,2011-2021,2015,Karbi Anglong,Karbi Anglong,
Assam,2011-2021,2016,Jorhat,Majuli,
Assam,2011-2021,2016,Jorhat,Jorhat,
Assam,2011-2021,2020,Barpeta,Bajali,
Assam,2011-2021,2020,Barpeta,Barpeta,
Assam,2011-2021,2020,Baksa,Tamulpur,
Assam,2011-2021,2020,Baksa,Baksa,
Chhattisgarh,2011-2021,2012,Surguja,Balrampur,
Chhattisgarh,2011-2021,2012,Surguja,Surguja,
Chhattisgarh,2011-2021,2011,Surguja,Surajpur,
Chhattisgarh,2011-2021,2011,Surguja,Surguja,
Chhattisgarh,2011-2021,2012,Bilaspur,Mungeli,
Chhattisgarh,2011-2021,2012,Bilaspur,Bilaspur,
Chhattisgarh,2011-2021,2012,Durg,Balod,
Chhattisgarh,2011-2021,2012,Durg,Bemetara,
Chhattisgarh,2011-2021,2012,Durg,Durg,
Chhattisgarh,2011-2021,2012,Dakshin Bastar Dantewada,Sukma,
Chhattisgarh,2011-2021,2012,Dakshin Bastar Dantewada,Dakshin Bastar Dantewada,
Chhattisgarh,2011-2021,2012,Bastar,Kondagaon,
Chhattisgarh,2011-2021,2012,Bastar,Bastar,
Chhattisgarh,2011-2021,2012,Raipur,Baloda Bazar,
Chhattisgarh,2011-2021,2012,Raipur,Gariyaband,
Chhattisgarh,2011-2021,2012,Raipur,Raipur,
Chhattisgarh,2011-2021,2020,Bilaspur,Gaurela-Pendra-Marwahi,
Chhattisgarh,2011-2021,2020,Bilaspur,Bilaspur,
Delhi,2011-2021,2012,North West,North,
Delhi,2011-2021,2012,North West,North West,
Delhi,2011-2021,2012,South,South,
Delhi,2011-2021,2012,South,South East,
Delhi,2011-2021,2012,North East,Shahdara,
Delhi,2011-2021,2012,North East,North East,
Delhi,2011-2021,2012,East,Shahdara,
Delhi,2011-2021,2012,East,East,
Delhi,2011-2021,2012,New Delhi,New Delhi,
Delhi,2011-2021,2012,South West,New Delhi,
Delhi,2011-2021,2012,South West,South West,
Gujarat,2011-2021,2013,Sabar Kantha,Aravalli,
Gujarat,2011-2021,2013,Sabar Kantha,Sabar Kantha,
Gujarat,2011-2021,2013,Ahmadabad,Botad,
Gujarat,2011-2021,2013,Ahmadabad,Ahmadabad,
Gujarat,2011-2021,2013,Bhavnagar,Botad,
Gujarat,2011-2021,2013,Bhavnagar,Bhavnagar,
Gujarat,2011-2021,2013,Vadodara,Chhota Udepur,
Gujarat,2011-2021,2013,Vadodara,Vadodara,
Gujarat,2011-2021,2013,Jamnagar,Devbhumi Dwarka,
Gujarat,2011-2021,2013,Jamnagar,Jamnagar,
Gujarat,2011-2021,2013,Kheda,Mahisagar,
Gujarat,2011-2021,2013,Kheda,Kheda,
Gujarat,2011-2021,2013,Panch Mahals,Mahisagar,
Gujarat,2011-2021,2013,Panch Mahals,Panch Mahals,
Gujarat,2011-2021,2013,Rajkot,Morbi,
Gujarat,2011-2021,2013,Rajkot,Rajkot,
Gujarat,2011-2021,2013,Surendranagar,Morbi,
Gujarat,2011-2021,2013,Surendranagar,Surendranagar,
Gujarat,2011-2021,2013,Jamnagar,Morbi,
Gujarat,2011-2021,2013,Jamnagar,Jamnagar,
Gujarat,2011-2021,2013,Junagadh,Gir Somnath,
Gujarat,2011-2021,2013,Junagadh,Junagadh,
Haryana,2011-2021,2016,Bhiwani,Charkhi Dadri,
Haryana,2011-2021,2016,Bhiwani,Bhiwani,
Karnataka,2011-2021,2021,Ballari,Ballari,
Karnataka,2011-2021,2021,Ballari,Vijayanagara,
Madhya Pradesh,2011-2021,2013,Shajapur,Agar-Malwa,
Madhya Pradesh,2011-2021,2013,Shajapur,Shajapur,
Madhya Pradesh,2011-2021,2018,Tikamgarh,Niwari,
Madhya Pradesh,2011-2021,2018,Tikamgarh,Tikamgarh,
Maharashtra,2011-2021,2014,Thane,Thane,
Maharashtra,2011-2021,2014,Thane,Palghar,
Manipur,2011-2021,2016,Imphal East,Jiribam,
Manipur,2011-2021,2016,Imphal East,Imphal East,
Manipur,2011-2021,2016,Thoubal,Kakching,
Manipur,2011-2021,2016,Thoubal,Thoubal,
Manipur,2011-2021,2016,Ukhrul,Kamjong,
Manipur,2011-2021,2016,Ukhrul,Ukhrul,
Manipur,2011-2021,2016,Senapati,Kangpokpi,
Manipur,2011-2021,2016,Senapati,Senapati,
Manipur,2011-2021,2016,Tamenglong,Noney,
Manipur,2011-2021,2016,Tamenglong,Tamenglong,
Manipur,2011-2021,2016,Chandel,Tengnoupal,
Manipur,2011-2021,2016,Chandel,Chandel,
Manipur,2011-2021,2016,Churachandpur,Pherzawl,
Manipur,2011-2021,2016,Churachandpur,Churachandpur,
Meghalaya,2011-2021,2012,East Garo Hills,North Garo Hills,
Meghalaya,2011-2021,2012,East Garo Hills,East Garo Hills,
Meghalaya,2011-2021,2012,Jaintia Hills,West Jaintia Hills,
Meghalaya,2011-2021,2012,Jaintia Hills,East Jaintia Hills,
Meghalaya,2011-2021,2012,West Khasi Hills,South West Khasi Hills,
Meghalaya,2011-2021,2012,West Khasi Hills,West Khasi Hills,
Meghalaya,2011-2021,2021,West Khasi Hills,Eastern West Khasi Hills,
Meghalaya,2011-2021,2021,West Khasi Hills,West Khasi Hills,
Mizoram,2011-2021,2019,Aizawl,Saitual,
Mizoram,2011-2021,2019,Aizawl,Aizawl,
Mizoram,2011-2021,2019,Lunglei,Hnathial,
Mizoram,2011-2021,2019,Lunglei,Lunglei,
Mizoram,2011-2021,2019,Champhai,Khawzawl,
Mizoram,2011-2021,2019,Champhai,Champhai,
Nagaland,2011-2021,2021,Dimapur,Chumoukedima,
Nagaland,2011-2021,2021,Dimapur,Niuland,
Nagaland,2011-2021,2021,Dimapur,Dimapur,
Nagaland,2011-2021,2017,Tuensang,Noklak,
Nagaland,2011-2021,2021,Tuensang,Tuensang,
Nagaland,2011-2021,2021,Kohima,Kohima,
Nagaland,2011-2021,2021,Kohima,Tseminyü,
Punjab,2011-2021,2011,Gurdaspur,Pathankot,
Punjab,2011-2021,2011,Gurdaspur,Gurdaspur,
Punjab,2011-2021,2011,Firozpur,Fazilka,
Punjab,2011-2021,2011,Firozpur,Firozpur,
Punjab,2011-2021,2021,Sangrur,Malerkotla,
Punjab,2011-2021,2021,Sangrur,Sangrur,
Sikkim,2011-2021,2021,East,Pakyong,
Sikkim,2011-2021,2021,East,East,
Sikkim,2011-2021,2021,West,Soreng,
Sikkim,2011-2021,2021,West,West,
Tamil Nadu,2011-2021,2019,Tirunelveli,Tenkasi,
Tamil Nadu,2011-2021,2019,Tirunelveli,Tirunelveli,
Tamil Nadu,2011-2021,2019,Viluppuram,Kallakurichi,
Tamil Nadu,2011-2021,2019,Viluppuram,Viluppuram,
Tamil Nadu,2011-2021,2019,Vellore,Tirupattur,
Tamil Nadu,2011-2021,2019,Vellore,Ranipet,
Tamil Nadu,2011-2021,2019,Vellore,Vellore,
Tamil Nadu,2011-2021,2019,Kancheepuram,Chengalpattu,
Tamil Nadu,2011-2021,2019,Kancheepuram,Kancheepuram,
Tamil Nadu,2011-2021,2020,Nagapattinam,Mayiladuthurai,
Tamil Nadu,2011-2021,2020,Nagapattinam,Nagapattinam,
Telangana,2011-2021,2016,Adilabad,Adilabad,
Telangana,2011-2021,2016,Khammam,Bhadradri Kothagudem,
Telangana,2011-2021,2016,Karimnagar,Jagitial,
Telangana,2011-2021,2016,Nalgonda,Jangaon,
Telangana,2011-2021,2016,Warangal,Jangaon,
Telangana,2011-2021,2016,Karimnagar,Jayashankar Bhupalpally,
Telangana,2011-2021,2016,Warangal,Jayashankar Bhupalpally,
Telangana,2011-2021,2019,Jayashankar Bhupalpally,Jayashankar Bhupalpally,
Telangana,2011-2021,2016,Mahabubnagar,Jogulamba Gadwal,
Tripura,2011-2021,2012,South Tripura,Gomati,
Tripura,2011-2021,2012,South Tripura,South Tripura,
Tripura,2011-2021,2012,West Tripura,Khowai,
Tripura,2011-2021,2012,West Tripura,Sipahijala,
Tripura,2011-2021,2012,West Tripura,West Tripura,
Tripura,2011-2021,2012,North Tripura,Unakoti,
Tripura,2011-2021,2012,North Tripura,North Tripura,
Uttar Pradesh,2011-2021,2011,Ghaziabad,Ghaziabad,
Uttar Pradesh,2011-2021,2011,Ghaziabad,Hapur,
Uttar Pradesh,2011-2021,2011,Muzaffarnagar,Muzaffarnagar,
Uttar Pradesh,2011-2021,2011,Muzaffarnagar,Shamli,
Uttar Pradesh,2011-2021,2010,Raebareli,Amethi,
Uttar Pradesh,2011-2021,2010,Raebareli,Raebareli,
Uttar Pradesh,2011-2021,2010,Sultanpur,Amethi,
Uttar Pradesh,2011-2021,2010,Sultanpur,Sultanpur,
Uttar Pradesh,2011-2021,2011,Moradabad,Sambhal,
Uttar Pradesh,2011-2021,2011,Moradabad,Moradabad,
Uttar Pradesh,2011-2021,2011,Budaun,Sambhal,
Uttar Pradesh,2011-2021,2011,Budaun,Budaun,
West Bengal,2011-2021,2014,Jalpaiguri,Alipurduar,
West Bengal,2011-2021,2014,Jalpaiguri,Jalpaiguri,
West Bengal,2011-2021,2017,Barddhaman,Pashchim Barddhaman,
West Bengal,2011-2021,2017,Barddhaman,Purba Barddhaman,
West Bengal,2011-2021,2017,Paschim Medinipur,Jhargram,
West Bengal,2011-2021,2017,Paschim Medinipur,Paschim Medinipur,
West Bengal,2011-2021,2017,Darjiling,Kalimpong,
West Bengal,2011-2021,2017,Darjiling,Darjiling,
Telangana,2011-2021,2016,Nizamabad,Kamareddy,
Telangana,2011-2021,2016,Karimnagar,Karimnagar,
Telangana,2011-2021,2016,Khammam,Khammam,
Telangana,2011-2021,2016,Adilabad,Kumuram Bheem,
Telangana,2011-2021,2016,Khammam,Mahabubabad,
Telangana,2011-2021,2016,Warangal,Mahabubabad,
Telangana,2011-2021,2016,Mahabubnagar,Mahabubnagar,
Telangana,2011-2021,2019,Mahabubnagar,Mahabubnagar,
Telangana,2011-2021,2016,Adilabad,Mancherial,
Telangana,2011-2021,2016,Karimnagar,Medak,
Telangana,2011-2021,2016,Warangal,Medak,
Telangana,2011-2021,2016,Medak,Medak,
Telangana,2011-2021,2016,Ranga Reddy,Medchal–Malkajgiri,
Telangana,2011-2021,2019,Warangal,Mulugu,
Telangana,2011-2021,2019,Khammam,Mulugu,
Telangana,2011-2021,2016,Mahabubnagar,Nagarkurnool,
Telangana,2011-2021,2016,Nalgonda,Nalgonda,
Telangana,2011-2021,2019,Mahabubnagar,Narayanpet,
Telangana,2011-2021,2016,Adilabad,Nirmal,
Telangana,2011-2021,2016,Nizamabad,Nizamabad,
Telangana,2011-2021,2016,Karimnagar,Peddapalli,
Telangana,2011-2021,2016,Karimnagar,Rajanna Sircilla,
Telangana,2011-2021,2016,Ranga Reddy,Ranga Reddy,
Telangana,2011-2021,2016,Medak,Sangareddy,
Telangana,2011-2021,2016,Medak,Siddipet,
Telangana,2011-2021,2016,Karimnagar,Siddipet,
Telangana,2011-2021,2016,Nalgonda,Suryapet,
Telangana,2011-2021,2016,Ranga Reddy,Vikarabad,
Telangana,2011-2021,2016,Mahabubnagar,Wanaparthy,
Telangana,2011-2021,2016,Warangal,Warangal Rural,
Telangana,2011-2021,2016,Warangal,Warangal Urban,
Telangana,2011-2021,2016,Nalgonda,Yadadri Bhuvanagiri,
Andhra Pradesh,2021-2024,2022,Srikakulam,Srikakulam,
Andhra Pradesh,2021-2024,2022,Srikakulam,Parvathipuram Manyam,
Andhra Pradesh,2021-2024,2022,Vizianagaram,Vizianagaram,
Andhra Pradesh,2021-2024,2022,Vizianagaram,Parvathipuram Manyam,
Andhra Pradesh,2021-2024,2022,East Godavari,East Godavari,
Andhra Pradesh,2021-2024,2022,East Godavari,Alluri Sitharama Raju,
Andhra Pradesh,2021-2024,2022,Visakhapatnam,Visakhapatnam,
Andhra Pradesh,2021-2024,2022,Visakhapatnam,Alluri Sitharama Raju,
Andhra Pradesh,2021-2024,2022,Vizianagaram,Alluri Sitharama Raju,
Andhra Pradesh,2021-2024,2022,Visakhapatnam,Anakapalli,
Andhra Pradesh,2021-2024,2022,East Godavari,East Godavari,
Andhra Pradesh,2021-2024,2022,East Godavari,Kakinada,
Andhra Pradesh,2021-2024,2022,East Godavari,Dr. B. R. Ambedkar Konaseema,
Andhra Pradesh,2021-2024,2022,West Godavari,Eluru,
Andhra Pradesh,2021-2024,2022,West Godavari,West Godavari,
Andhra Pradesh,2021-2024,2022,Krishna,NTR,
Andhra Pradesh,2021-2024,2022,Krishna,Krishna,
Andhra Pradesh,2021-2024,2022,Guntur,Guntur,
Andhra Pradesh,2021-2024,2022,Guntur,Palnadu,
Andhra Pradesh,2021-2024,2022,Guntur,Bapatla,
Andhra Pradesh,2021-2024,2022,Kurnool,Nandyal,
Andhra Pradesh,2021-2024,2022,Anantapuramu,Anantapuramu,
Andhra Pradesh,2021-2024,2022,Anantapuramu,Sri Sathya Sai,
Andhra Pradesh,2021-2024,2022,Chittoor,Annamayya,
Andhra Pradesh,2021-2024,2022,Chittoor,Chittoor,
Andhra Pradesh,2021-2024,2022,YSR,Annamayya,
Andhra Pradesh,2021-2024,2022,YSR,YSR,
Andhra Pradesh,2021-2024,2022,Chittoor,Tirupati,
Andhra Pradesh,2021-2024,2022,Nellore,Nellore,
Andhra Pradesh,2021-2024,2022,Nellore,Tirupati,
Rajasthan,2021-2024,2023,Barmer,Balotra,
Rajasthan,2021-2024,2023,Barmer,Barmer,
Rajasthan,2021-2024,2023,Ajmer,Beawar,
Rajasthan,2021-2024,2023,Ajmer,Ajmer,
Rajasthan,2021-2024,2023,Nagaur,Didwana-Kuchaman district,
Rajasthan,2021-2024,2023,Nagaur,Nagaur,
Rajasthan,2021-2024,2023,Jaipur,Jaipur Rural,
Rajasthan,2021-2024,2023,Jaipur,Jaipur Urban,
Rajasthan,2021-2024,2023,Jodhpur,Jodhpur Rural,
Rajasthan,2021-2024,2023,Jodhpur,Jodhpur Urban,
Rajasthan,2021-2024,2023,Sriganganagar,Anupgarh district,
Rajasthan,2021-2024,2023,Sriganganagar,Sriganganagar,
Rajasthan,2021-2024,2023,Bharatpur,Deeg district,
Rajasthan,2021-2024,2023,Bharatpur,Bharatpur,
Rajasthan,2021-2024,2023,Jaipur,Dudu district,
Rajasthan,2021-2024,2023,Sawai Madhopur,Gangapur district,
Rajasthan,2021-2024,2023,Sawai Madhopur,Sawai Madhopur,
Rajasthan,2021-2024,2023,Ajmer,Kekri district,
Rajasthan,2021-2024,2023,Alwar,Khairthal-Tijara district,
Rajasthan,2021-2024,2023,Alwar,Alwar,
Rajasthan,2021-2024,2023,Jaipur,Kotputli-Behror district,
Rajasthan,2021-2024,2023,Sikar,Neem Ka Thana,
Rajasthan,2021-2024,2023,Sikar,Sikar,
Rajasthan,2021-2024,2023,Jodhpur,Phalodi district,
Rajasthan,2021-2024,2023,Udaipur,Salumbar district,
Rajasthan,2021-2024,2023,Udaipur,Udaipur,
Rajasthan,2021-2024,2023,Jalore,Sanchore district,
Rajasthan,2021-2024,2023,Jalore,Jalore,
Rajasthan,2021-2024,2023,Bhilwara,Shahpura district,
Rajasthan,2021-2024,2023,Bhilwara,Bhilwara,
